timestamp,TP9_uV,AF7_uV,AF8_uV,TP10_uV
1772268250027,-12.409325,-46.739425,-40.653682,-11.893155
1772268250031,-9.589978,-214.595946,-186.809881,-2.757020
1772268250034,-7.647658,-193.382265,-165.357176,2.053981
1772268250038,-6.326588,50.953050,53.260479,0.650888
1772268250042,-5.412836,190.544316,176.796002,-4.328146
1772268250046,-5.724222,132.579417,108.744002,-7.513546
1772268250050,0.788098,122.983009,99.216584,0.198323
1772268250054,3.206229,164.719465,130.451694,-1.247199
1772268250058,6.662485,158.770649,121.132298,-0.841303
1772268250062,11.046542,84.732762,51.261458,3.331123
1772268250066,16.641946,53.678288,24.728892,10.998168
1772268250070,21.346934,33.071748,15.140438,18.011772
1772268250073,20.981584,-55.608190,-47.825991,17.667477
1772268250077,17.740691,-145.036049,-125.988271,11.410595
1772268250081,15.166996,-157.281079,-161.420066,8.302407
1772268250085,12.814429,-128.063195,-148.650407,11.433545
1772268250089,11.379341,-65.937872,-74.220473,13.935164
1772268250093,8.302186,127.097983,120.604568,7.448940
1772268250050,0.788098,122.983009,99.216584,0.198323
1772268250054,3.206229,164.719465,130.451694,-1.247199
1772268250058,6.662485,158.770649,121.132298,-0.841303
1772268250062,11.046542,84.732762,51.261458,3.331123
1772268250066,16.641946,53.678288,24.728892,10.998168
1772268250070,21.346934,33.071748,15.140438,18.011772
1772268250073,20.981584,-55.608190,-47.825991,17.667477
1772268250077,17.740691,-145.036049,-125.988271,11.410595
1772268250081,15.166996,-157.281079,-161.420066,8.302407
1772268250085,12.814429,-128.063195,-148.650407,11.433545
1772268250089,11.379341,-65.937872,-74.220473,13.935164
1772268250093,8.302186,127.097983,120.604568,7.448940
1772268250050,0.788098,122.983009,99.216584,0.198323
1772268250054,3.206229,164.719465,130.451694,-1.247199
1772268250058,6.662485,158.770649,121.132298,-0.841303
1772268250062,11.046542,84.732762,51.261458,3.331123
1772268250066,16.641946,53.678288,24.728892,10.998168
1772268250070,21.346934,33.071748,15.140438,18.011772
1772268250073,20.981584,-55.608190,-47.825991,17.667477
1772268250077,17.740691,-145.036049,-125.988271,11.410595
1772268250081,15.166996,-157.281079,-161.420066,8.302407
1772268250085,12.814429,-128.063195,-148.650407,11.433545
1772268250089,11.379341,-65.937872,-74.220473,13.935164
1772268250093,8.302186,127.097983,120.604568,7.448940
1772268250050,0.788098,122.983009,99.216584,0.198323
