timestamp_ms,key_pressed,chTP9_raw_uv,chAF7_raw_uv,chAF8_raw_uv,chTP10_raw_uv
1772270065398,none,68.847656,61.035156,-43.945313,0.488281
1772270065402,none,110.839844,355.468750,176.269531,27.343750
1772270065406,none,62.988281,284.179688,148.925781,41.015625
1772270065410,none,-36.132813,-68.847656,-109.863281,30.273438
1772270065414,none,-45.898438,-278.320313,-296.875000,1.953125
1772270065418,none,52.734375,-53.222656,-126.464844,-10.253906
1772270065421,none,102.539063,-18.066406,-115.722656,6.835938
1772270065425,none,64.941406,-79.589844,-137.695313,27.832031
1772270065429,none,-30.273438,24.414063,-18.066406,35.644531
1772270065433,none,-53.710938,-111.816406,-135.742188,18.554688
1772270065437,none,45.410156,-42.968750,-96.679688,11.230469
1772270065441,none,110.839844,194.335938,66.894531,31.250000
1772270065445,none,84.960938,468.750000,320.800781,44.433594
1772270065449,none,-12.207031,274.414063,201.660156,38.085938
1772270065453,none,-54.687500,-346.679688,-330.566406,23.437500
1772270065457,none,30.761719,-166.015625,-190.429688,18.066406
1772270065460,none,100.097656,252.441406,131.835938,25.390625
1772270065464,none,85.449219,349.121094,228.515625,33.691406
1772270065468,none,-6.835938,-142.089844,-129.394531,26.855469
1772270065472,none,-62.500000,-684.082031,-601.074219,5.371094
1772270065476,none,6.835938,-179.687500,-208.984375,-14.160156
1772270065480,none,85.449219,91.796875,-4.882813,-7.324219
1772270065484,none,89.843750,183.593750,79.101563,19.531250
1772270065488,none,4.882813,255.371094,181.152344,26.855469
1772270065492,none,-55.175781,-183.593750,-186.035156,14.648438
1772270065496,none,10.742188,-270.507813,-266.113281,-5.371094
1772270065500,none,97.656250,21.972656,-44.433594,1.464844
1772270065503,none,109.375000,374.023438,250.976563,28.808594
1772270065507,none,24.902344,382.812500,303.710938,40.039063
1772270065511,none,-64.453125,-366.699219,-304.199219,28.808594
1772270065515,none,-22.949219,-798.339844,-675.292969,4.394531
1772270065519,none,72.753906,-155.761719,-174.804688,14.648438
1772270065523,none,97.656250,319.824219,209.960938,37.597656
1772270065527,none,30.761719,229.980469,182.128906,40.039063
1772270065531,none,-56.152344,-114.746094,-77.636719,29.785156
1772270065535,none,-25.878906,-280.761719,-233.886719,3.906250
1772270065539,none,74.218750,-22.460938,-41.015625,1.953125
1772270065543,none,103.027344,181.152344,105.468750,24.902344
1772270065546,none,34.667969,266.601563,216.308594,38.085938
1772270065550,none,-59.570313,-36.132813,-14.648438,37.109375
1772270065554,none,-44.433594,-340.332031,-291.015625,15.625000
1772270065558,none,60.546875,-160.156250,-156.250000,7.812500
1772270065562,none,107.910156,-16.601563,-59.082031,24.902344
1772270065566,none,56.640625,231.933594,180.664063,42.480469
1772270065570,none,-38.085938,42.480469,55.175781,40.039063
1772270065574,none,-38.574219,-690.429688,-566.894531,8.300781
1772270065578,none,63.964844,-449.218750,-393.066406,-0.488281
1772270065582,none,114.257813,273.925781,185.058594,27.832031
1772270065585,none,72.265625,386.230469,322.265625,42.480469
1772270065589,none,-25.878906,42.480469,71.289063,31.738281
1772270065593,none,-53.222656,-386.718750,-310.546875,9.277344
1772270065597,none,41.015625,-192.382813,-167.968750,1.464844
1772270065601,none,101.562500,154.785156,105.468750,19.531250
1772270065605,none,70.312500,252.441406,229.492188,41.992188
1772270065609,none,-28.808594,-9.765625,48.339844,42.480469
1772270065613,none,-62.011719,-326.660156,-244.628906,21.484375
1772270065617,none,34.179688,-276.367188,-210.449219,9.765625
1772270065621,none,106.445313,-174.804688,-132.324219,21.484375
1772270065625,none,96.191406,389.648438,359.375000,43.457031
1772270065628,none,-1.953125,344.238281,359.375000,37.597656
1772270065632,none,-62.011719,-277.832031,-177.734375,13.183594
1772270065636,none,18.554688,-79.589844,-26.367188,0.976563
1772270065640,none,104.003906,426.269531,379.882813,18.554688
1772270065644,none,104.980469,695.800781,639.648438,47.363281
1772270065648,none,10.253906,500.000000,524.414063,48.339844
1772270065652,none,-52.246094,-208.984375,-90.820313,38.085938
1772270065656,none,17.089844,-215.332031,-108.886719,25.390625
1772270065660,none,98.632813,253.417969,272.460938,32.714844
1772270065664,none,104.492188,246.093750,288.574219,59.570313
1772270065667,none,15.625000,194.335938,284.667969,57.128906
1772270065671,none,-60.546875,91.796875,177.246094,39.550781
1772270065675,none,-0.976563,-39.062500,48.339844,20.996094
1772270065632,none,-62.011719,-277.832031,-177.734375,13.183594
1772270065636,none,18.554688,-79.589844,-26.367188,0.976563
1772270065640,none,104.003906,426.269531,379.882813,18.554688
1772270065644,none,104.980469,695.800781,639.648438,47.363281
1772270065648,none,10.253906,500.000000,524.414063,48.339844
1772270065652,none,-52.246094,-208.984375,-90.820313,38.085938
1772270065656,none,17.089844,-215.332031,-108.886719,25.390625
